Count,CustomName
3274,"На фронті за добу - 261 боєзіткнення, на Покровському напрямку Сили оборони зупинили 71 атаку"
2128,Зеленський: Україна готова говорити з США про військову присутність не тільки на землі
975,Масштабна атака ворожих дронів: Україна збила 70 із 151 БПЛА зс рф
516,Forbes: РНБО запровадила санкції проти Порошенка
289,Міноборони презентувало контракт для 18-24— річних
269,"У Харкові чоловік з ножем напав на співробітника ТЦК – поліція, усі подробиці"
240,На фронті загинув відомий журналіст та режисер Ярослав Шапочка (фото)
211,Уряд заборонив направляти на ВЛК людей з інвалідністю
205,"Танки, ракети, артилерія і не тільки: Британія виділила Україні пакет військової допомоги на 150 млн фунтів стерлінгів"
171,"Михайло Поплавський та Павло Зібров оголосили про старт спільного проєкту ""Українська пісня року – 2024"""
154,"У 2024 році Kernel сплатив до бюджету 5,8 млрд грн податків"
133,До України повернули тіла ще 757 полеглих захисників
122,"Нетаньяху пригрозив відновити бої в секторі Гази, якщо ХАМАС не відпустить заручників"
94,Рада продовжила термін проходження ВЛК обмежено придатним до 5 червня
93,Естонська розвідка: Китай допомагає Росії обходити санкції та постачає компоненти для дронів
86,Вона сказала «так»: Соломія Вітвіцька виходить заміж за коханого-військового
72,Канада засуджує мита США на сталь та алюміній
71,Німеччина передасть Україні близько 100 ракет для IRIS-T
71,Яке свято відзначають 14 лютого: все про цей день
68,Україна розширює імпорт газу з Євросоюзу
67,Зеленський ввів у дію рішення РНБО про зниження цін на ліки: що зміниться з березня
67,"У МВС повідомили, коли українські чоловіки за кордоном зможуть отримати паспорти"
60,Кому та на скільки збільшать пенсії з 1 березня: якою буде індексація у 2025 році
60,"США запровадили санкції проти прокурора МКС, який видав ордер на арешт Путіна"
50,"Окупанти в Таврійську змушують дітей ясельного віку ""підтримувати"" російських військових"
45,Атомний авіаносець США зіткнувся з торговим судном у Середземному морі
41,В Україні створять полігон для тестування нових технологій розмінування з використанням ШІ
39,На Львівщині запроваджують зупинку транспорту під час хвилини мовчання
37,Помер від втрати крові: У Хмельницькому чоловік під час проходження ВЛК вчинив самогубство
33,Укроборонпром і французька компанія Thales International створять спільне підприємство: що вироблятимуть
32,Ціни на продукти в Україні стрімко зростають: Ось що дорожчає найшвидше та чого чекати навесні
32,НАБУ перевіряє Умєрова на можливі зловживання
28,Депутати «Європейської Солідарності» заблокували трибуну у Раді на фоні санкцій проти Порошенка
28,Принц Гаррі розповів про розмови з дітьми про війну
27,"Дослідники знайшли таємничі тунелі, намальовані Леонардо да Вінчі 500 років тому"
24,"Трамп заявив, що наступного тижня представники України, РФ та США зустрінуться в Саудівській Аравії для переговорів щодо припинення війни"
21,«Захищав проєкт Delta до упора»
21,ЄС перегляне мільярдні витрати на підтримку інших країн
17,"У зірки ""Ліги Сміху"" Вені стався крововилив у мозок"
16,США планують надати Індії винищувачі F-35
16,Укренерго вводить екстрені відключення світла по всій Україні: що відомо
15,ДБР затримало директора онлайн-казино Pin-Up за підозрою у відмиванні російських коштів — Delo
14,"Директоркою Нацрозвідки США стала Тулсі Габбард, яка звинувачувала НАТО у війні в Україні"
14,Папа Римський не зміг завершити недільну проповідь через проблеми з диханням
13,На війні в Україні вперше загинув громадянин Швейцарії: що відомо
13,Електронні черги будуть запроваджені невдовзі на проходження ВЛК
12,Укрпошта випустила лімітований набір марок «Чорний ліс»
12,Міноборони перероблятиме відпрацьовану гуму з військової техніки для потреб ЗСУ
10,У Києві та області триває боротьба зі снігом та ожеледицею: фото
